symbol,company,price,market_cap,pe_ratio,sector,industry,headquarters,date_added,founded
POOL,Pool Corporation,372.22,15000000000,28.1,Consumer Discretionary,Distributors,"Covington,  Louisiana",2005-10-03,1993
PPG,PPG Industries,132.22,31000000000,21.8,Materials,Specialty Chemicals,"Pittsburgh,  Pennsylvania",1957-03-04,1883
PPL,PPL Corporation,27.22,20000000000,14.2,Utilities,Electric Utilities,"Allentown,  Pennsylvania",1957-03-04,1920
PFG,Principal Financial Group,82.22,20000000000,11.8,Financials,Life & Health Insurance,"Des Moines,  Iowa",2002-07-22,1879
PG,Procter & Gamble,162.22,390000000000,25.4,Consumer Staples,Household Products,"Cincinnati,  Ohio",1957-03-04,1837
PGR,Progressive Corporation,212.22,130000000000,22.1,Financials,Property & Casualty Insurance,"Mayfield Village,  Ohio",1997-08-04,1937
PLD,Prologis,122.22,110000000000,28.4,Real Estate,Industrial REITs,"San Francisco,  California",2003-07-17,1983
PRU,Prudential Financial,102.22,37000000000,9.8,Financials,Life & Health Insurance,"Newark,  New Jersey",2002-12-09,1875
PEG,Public Service Enterprise Group,62.22,31000000000,17.4,Utilities,Multi-Utilities,"Newark,  New Jersey",1957-03-04,1903
PHM,PulteGroup,112.22,25000000000,11.4,Consumer Discretionary,Homebuilding,"Atlanta,  Georgia",1984-12-31,1950
QRVO,Qorvo,112.22,11000000000,18.2,Information Technology,Semiconductors,"Greensboro,  North Carolina",2015-01-02,2015
QCOM,Qualcomm,172.22,190000000000,22.1,Information Technology,Semiconductors,"San Diego,  California",1991-12-31,1985
PWR,Quanta Services,232.22,33000000000,27.4,Industrials,Construction & Engineering,"Houston,  Texas",2009-07-20,1997
DGX,Quest Diagnostics,142.22,16000000000,17.8,Health Care,Health Care Services,"Secaucus,  New Jersey",2012-07-02,1967
RL,Ralph Lauren,142.22,9000000000,15.4,Consumer Discretionary,Apparel,"New York City,  New York",2007-02-02,1967
RJF,Raymond James,122.22,26000000000,14.8,Financials,Investment Banking & Brokerage,"St. Petersburg,  Florida",2012-03-26,1962
RTX,RTX Corporation,102.22,140000000000,19.1,Industrials,Aerospace & Defense,"Waltham,  Massachusetts",2020-04-03,1922
O,Realty Income,52.22,45000000000,42.1,Real Estate,Retail REITs,"San Diego,  California",2015-03-27,1969
REG,Regency Centers,62.22,11000000000,28.4,Real Estate,Retail REITs,"Jacksonville,  Florida",2017-03-20,1963
REGN,Regeneron Pharmaceuticals,842.22,94000000000,29.1,Health Care,Biotechnology,"Tarrytown,  New York",2013-05-01,1988
RF,Regions Financial,22.22,21000000000,9.8,Financials,Regional Banks,"Birmingham,  Alabama",1998-11-30,1971
RSG,Republic Services,172.22,55000000000,29.4,Industrials,Environmental & Facilities Services,"Phoenix,  Arizona",2008-12-05,1998
RMD,ResMed,202.22,30000000000,27.8,Health Care,Health Care Equipment,"San Diego,  California",2017-07-10,1989
RHI,Robert Half,72.22,7800000000,13.4,Industrials,Human Resource & Employment Services,"Menlo Park,  California",2000-12-01,1948
ROK,Rockwell Automation,312.22,36000000000,28.1,Industrials,Industrial Machinery & Supplies & Components,"Milwaukee,  Wisconsin",2001-02-02,1903
ROL,Rollins,42.22,20000000000,48.1,Industrials,Environmental & Facilities Services,"Atlanta,  Georgia",2018-10-01,1948
ROP,Roper Technologies,482.22,51000000000,31.4,Industrials,Industrial ConglomeratesSarasota, Florida,2009-12-23,1981
ROST,Ross Stores,142.22,49000000000,24.1,Consumer Discretionary,Apparel Retail,"Dublin,  California",2009-12-21,1950
RCL,Royal Caribbean Group,142.22,36000000000,17.4,Consumer Discretionary,"Hotels,  Resorts & Cruise Lines","Miami,  Florida",1997-05-30,1968
SPGI,S&P Global,412.22,130000000000,32.1,Financials,Financial Exchanges & Data,"New York City,  New York",2011-12-01,1860
CRM,Salesforce,242.22,240000000000,32.8,Information Technology,Systems Software,"San Francisco,  California",2008-09-15,1999
SBAC,SBA Communications,212.22,23000000000,48.1,Real Estate,Telecom Tower REITs,"Boca Raton,  Florida",2016-09-19,1989
SLB,Schlumberger,52.22,74000000000,17.2,Energy,Oil & Gas Equipment & Services,"Houston,  Texas",1957-03-04,1926
STX,Seagate Technology,82.22,17000000000,21.4,Information Technology,"Technology Hardware,  Storage & Peripherals","Dublin,  Ireland",2012-07-02,1979
SEE,Sealed Air,32.22,4600000000,12.8,Materials,Paper & Plastic Packaging Products & Materials,"Charlotte,  North Carolina",2014-12-19,1960
SRE,Sempra Energy,72.22,45000000000,17.1,Utilities,Multi-Utilities,"San Diego,  California",1998-06-29,1998
NOW,ServiceNow,742.22,150000000000,62.1,Information Technology,Systems Software,"Santa Clara,  California",2012-06-29,2004
SHW,Sherwin-Williams,312.22,80000000000,32.8,Materials,Specialty Chemicals,"Cleveland,  Ohio",1964-03-31,1866
SPG,Simon Property Group,122.22,40000000000,19.4,Real Estate,Retail REITs,"Indianapolis,  Indiana",2002-06-26,1993
SWKS,Skyworks Solutions,102.22,16000000000,14.8,Information Technology,Semiconductors,"Irvine,  California",2011-03-14,2002
SJM,Smucker (J.M.),122.22,13000000000,14.1,Consumer Staples,Packaged Foods & Meats,"Orrville,  Ohio",1957-03-04,1897
SNA,Snap-on,272.22,15000000000,15.8,Industrials,Industrial Machinery & Supplies & Components,"Kenosha,  Wisconsin",1999-12-31,1920
SO,Southern Company,72.22,82000000000,19.1,Utilities,Electric Utilities,"Atlanta,  Georgia",1957-03-04,1945
